"rank","points","status","profile url","name","joined","gold medals","silver medals","bronze medals"
"16","1,401","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/xhlulu","xhlulu","4 years ago","74","61","376"
"17","1,386","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/mugentk","mugen88","3 years ago","74","46","586"
"18","1,328","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/ruchi798","Ruchi Bhatia","3 years ago","50","38","420"
"19","1,322","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/gunesevitan","Gunes Evitan","4 years ago","90","90","598"
"20","1,308","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ravi20076","Ravi Ramakrishnan","a year ago","6","6","1103"
"21","1,274","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/crained","Charlie Craine","8 years ago","56","39","431"
"22","1,268","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/surajjha101","Suraj Jha","6 months ago","21","13","1033"
"23","1,196","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/caesarmario","Mario Caesar","3 years ago","3","2","1399"
"24","1,192","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/theoviel","Theo Viel","4 years ago","69","62","447"
"25","1,183","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/init27","Sanyam Bhutani","4 years ago","60","53","454"
"26","1,169","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/lucasmorin","Lucas Morin","3 years ago","35","52","484"
"27","1,163","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/aerdem4","Ahmet Erdem","7 years ago","99","115","444"
"28","1,162","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/gogo827jz","Yirun Zhang","3 years ago","68","81","628"
"29","1,141","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lordozvlad","Devlikamov Vlad","2 years ago","8","8","1357"
"30","1,099","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nancyalaswad90","Ms. Nancy Al Aswad","4 years ago","23","9","692"
"31","1,097","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/awsaf49","Awsaf","3 years ago","34","23","303"
"32","1,083","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/christofhenkel","Dieter","5 years ago","121","125","512"
"33","1,068","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/andradaolteanu","Andrada Olteanu","3 years ago","34","24","169"
"34","1,062","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/sudalairajkumar","SRK","10 years ago","61","45","416"
"35","1,042","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/headsortails","Heads or Tails","5 years ago","112","78","673"
"36","1,042","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/kritidoneria","KritiDoneria","5 years ago","37","40","665"
"37","1,034","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/rdizzl3","RDizzl3","8 years ago","58","53","412"
"38","1,021","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/desalegngeb","des.","2 years ago","24","33","789"
"39","995","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/nbroad","Nicholas Broad","3 years ago","38","34","287"
"40","976","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yacharki","Yassir Acharki","5 months ago","5","11","770"
"41","968","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/michau96","Michal Bogacz","4 years ago","32","27","660"
"42","967","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/titericz","Giba","10 years ago","106","118","515"
"43","960","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nejumi","YuyaYamamoto","6 years ago","56","25","91"
"44","958","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/karnikakapoor","Karnika Kapoor","3 years ago","7","4","1671"
"45","942","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/kmldas","Kamal Das","4 years ago","55","44","414"
"46","910","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/muhammedtausif","Muhammed Tausif","3 years ago","11","21","656"
"47","908","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ohseokkim","OH SEOK KIM","2 years ago","2","3","1290"
"48","899","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/robikscube","Rob Mulla","6 years ago","78","63","650"
"49","896","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/group16","Gilles Vandewiele","7 years ago","44","46","415"
"50","894","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/yasufuminakama","Y.Nakama","4 years ago","37","24","192"
"51","894","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/muhammadahmed68","Moezilda","2 years ago","2","1","969"
"52","893","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/tyonemoto","yone-moto","2 years ago","38","63","178"
"53","892","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/kirderf","Kirderf","3 years ago","46","60","440"
"54","888","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/slawekbiel","Slawek Biel","4 years ago","28","23","197"
"55","877","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/tanulsingh077","Mr_KnowNothing","4 years ago","42","30","307"
"56","875","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/allohvk","Allohvk","3 years ago","26","30","543"
"57","867","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/odins0n","Sanskar Hasija","2 years ago","12","14","571"
"58","859","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/gpreda","Gabriel Preda","6 years ago","61","67","569"
"59","849","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/kyakovlev","Konstantin Yakovlev","4 years ago","62","73","423"
"60","843","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/tunguz","Bojan Tunguz","7 years ago","154","167","721"
"61","833","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/shivamb","Shivam Bansal","5 years ago","51","29","438"
"62","832","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/drhabib","DrHB","5 years ago","54","77","416"
"63","826","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/haqishen","Qishen Ha","7 years ago","53","34","230"
"64","807","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jonaspalucibarbosa","Jonas Paluci Barbosa","a year ago","12","18","372"
"65","767","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/iamsouravbanerjee","Sourav Banerjee","a year ago","18","4","603"
"66","750","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hiroshioshio","Hiroshi Oshio","a year ago","33","36","56"
"67","749","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/trushk","Sirius","5 years ago","30","25","244"
"68","740","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/yassinealouini","Yassine Alouini","8 years ago","46","55","709"
"69","733","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/kneroma","kkiller","5 years ago","49","25","204"
"70","732","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ootake","ootake","a year ago","35","46","75"
"71","717","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aminizahra","Zahra Amini","a year ago","7","4","841"
"72","716","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/duykhanh99","KhanhVD","4 years ago","29","27","440"
"73","715","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/kalilurrahman","Kalilur Rahman","3 years ago","23","30","315"
"74","707","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/andrej0marinchenko","Andrej Marinchenko","a year ago","18","10","270"
"75","703","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/faisalalsrheed","Faisal Alsrheed","3 years ago","24","31","230"
"76","700","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/anjum48","datasaurus","7 years ago","39","51","276"
"77","700","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/authman","عثمان","5 years ago","51","78","566"
"78","698","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/mobassir","Mobassir","4 years ago","57","73","868"
"79","691","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mrinath","DeepUnderstanding","4 years ago","22","25","418"
"80","682","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/thedrcat","Darek Kłeczek","5 years ago","33","20","189"
"81","680","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saurabhbagchi","Old Monk","8 years ago","18","19","624"
"82","680","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/arezoodahesh","Arezoo Dahesh","2 years ago","3","0","780"
"83","673","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/jesucristo","Nanashi","4 years ago","72","80","588"
"84","665","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/ragnar123","Martin Kovacevic Buvinic","5 years ago","23","41","324"
"85","655","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/takoihiraokazu","Takoi","6 years ago","42","22","44"
"86","644","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/artgor","Andrew Lukyanenko","6 years ago","93","85","711"
"87","618","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/heyrobin","Robin S.","2 years ago","7","2","695"
"88","607","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/readoc","Deep Learner","3 years ago","18","29","121"
"89","606","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/serigne","Serigne","5 years ago","51","124","704"
"90","604","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/onodera","ONODERA","7 years ago","62","64","245"
"91","602","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/phalanx","phalanx","5 years ago","29","35","69"
"92","602","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/samuelcortinhas","Samuel Cortinhas","10 months ago","13","14","321"
"93","601","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/mohamedhanyyy","Mohamed Hany","3 years ago","18","36","606"
"94","599","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/balabaskar","Bala Baskar","3 years ago","19","13","386"
"95","596","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/ipythonx","M.Innat","4 years ago","34","37","467"
"96","594","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/snnclsr","Sinan Calisir","5 years ago","17","24","149"
"97","591","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/mragpavank","PAVAN KUMAR D","4 years ago","37","21","433"
"98","588","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/ryches","ryches","5 years ago","70","61","393"
"99","583","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/pestipeti","Peter","6 years ago","49","35","303"
"100","577","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cv13j0","C4rl05/V","6 years ago","4","5","688"
"101","576","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/ilu000","Ilu","4 years ago","16","59","492"
"102","564","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/suicaokhoailang","Khoi Nguyen","5 years ago","49","68","237"
"103","563","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tatamikenn","bilzard","2 years ago","22","23","124"
"104","562","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/matthewmasters","Matthew Masters","6 years ago","23","44","570"
"105","560","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nyanpn","nyanp","5 years ago","27","23","90"
"106","560","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mattop","Matt OP","3 months ago","1","1","540"
"107","559","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/senkin13","senkin13","6 years ago","21","11","117"
"108","558","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/konradb","Konrad Banachewicz","12 years ago","80","94","629"
"109","557","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/ryosukemoriz","Morimori","a year ago","16","58","227"
"110","556","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/pranjalverma08","Pranjal Verma","2 years ago","36","32","290"
"111","552","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jacob34","Clear n' Simple","5 years ago","23","15","189"
"112","543","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/yus002","Yue Sun","2 years ago","38","20","296"
"113","542","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/goldenlock","gezi","10 years ago","6","17","176"
"114","541","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vahidehdashti","Vahideh Dashti","2 years ago","3","6","886"
"115","540","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hasanbasriakcay","Hasan Basri Akçay","3 years ago","4","4","613"
"116","533","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nischaydnk","Nischay Dhankhar","2 years ago","24","23","364"
"117","532","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yuanzhezhou","yuanzhe zhou","2 years ago","10","10","180"
"118","530","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ahmedshahriarsakib","Ahmed Shahriar Sakib","3 years ago","5","17","587"
"119","528","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/subhamjain","Subham Surana","2 years ago","20","8","350"
"120","527","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/anandhuh","Anandhu H","2 years ago","16","12","448"
"121","526","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/jpmiller","JohnM","7 years ago","50","62","436"
"122","523","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gvyshnya","Georgii Vyshnia","6 years ago","11","27","796"
"123","521","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/rohanrao","Vopani","9 years ago","56","58","419"
"124","515","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/berkayalan","Berkay Alan","3 years ago","11","45","294"
"125","515","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/debarshichanda","Debarshi Chanda","2 years ago","19","13","236"
"126","514","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/dwchen","Dewei Chen","4 years ago","30","25","152"
"127","511","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/tilii7","Tilii","6 years ago","84","129","826"
"128","508","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sisharaneranjana","Ishara Neranjana","2 years ago","4","1","686"
"129","507","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mohamedbakrey","Mohamed Bakrey","2 years ago","5","3","693"
"130","505","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kaerunantoka","kaerururu","4 years ago","16","8","52"
"131","501","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/ttahara","Tawara","7 years ago","35","24","167"
"132","500","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/vladvdv","Vlad Vaduva","3 years ago","36","27","213"
"133","500","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/crodoc","CroDoc","2 years ago","20","12","134"
"134","495","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/iafoss","Iafoss","5 years ago","29","39","482"
"135","495","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/nakamuran","nakamuran","a year ago","14","49","176"
"136","492","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/qusaybtoush1990","Qusay AL-Btoush","6 months ago","0","0","520"
"137","486","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pcjimmmy","PC Jimmmy","5 years ago","14","34","655"
"138","486","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/zaharch","nosound","4 years ago","44","44","283"
"139","484","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/seabreeze","SeaBreeze","9 years ago","3","21","492"
"140","484","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/eisgandar","Mustanger","3 months ago","2","1","453"
"141","478","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/georgyzubkov","Georgy Zubkov","2 years ago","1","0","503"
"142","469","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dwin183287","Sharlto Cope","8 years ago","3","2","1086"
"143","468","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/paweljankiewicz","Paweł Jankiewicz","11 years ago","14","32","143"
"144","465","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hattan0523","Leo0523","4 years ago","26","21","18"
"145","465","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/zzy990106","zzy","4 years ago","9","18","149"
"146","454","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shubhamptrivedi","Shubham Trivedi","10 months ago","16","3","204"
"147","452","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jaideepvalani","Jaideep","4 years ago","16","25","437"
"148","449","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/bamps53","Camaro","5 years ago","36","22","186"
"149","448","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/shaz13","Mohammad Shahebaz","5 years ago","52","30","453"
"150","447","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ninjaac","Pavithra Devi M","2 years ago","1","1","542"
"151","442","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lukaszborecki","Lukasz Borecki","3 years ago","14","17","221"
"152","440","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ramjasmaurya","Ram Jas Maurya","2 years ago","4","13","298"
"153","438","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/hidehisaarai1213","Hidehisa Arai","5 years ago","31","38","218"
"154","434","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/adityaecdrid","Aditya Soni","6 years ago","31","39","913"
"155","434","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shinmurashinmura","shinmura0","2 years ago","22","9","54"
"156","418","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/azminetoushikwasi","Azmine Toushik Wasi","a year ago","10","17","135"
"157","415","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rhtsingh","torch","5 years ago","10","16","206"
"158","413","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vivek468","Vivek Chowdhury","3 years ago","4","5","534"
"159","411","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/datahobbit","MichaelP","7 years ago","26","37","349"
"160","410","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/lftuwujie","Jie Wu","6 years ago","24","26","210"
"161","410","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pourchot","Laurent Pourchot","2 years ago","12","9","286"
"162","407","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kaanboke","Kaan BOKE","a year ago","9","10","519"
"163","405","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bowaka","Bowaka","5 years ago","20","11","144"
"164","403","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kaggleqrdl","@kaggleqrdl","8 months ago","7","15","221"
"165","399","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kanberburak","Burak","a year ago","0","2","578"
"166","398","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kinnerakiran","Kinnera Kiran","2 months ago","5","10","214"
"167","396","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tolgadincer","Tolga","7 years ago","26","18","365"
"168","395","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/robga","robga","5 years ago","18","36","302"
"169","392","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ehsandahesh","Ehsan Dahesh","a year ago","1","0","487"
"170","390","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aishwarya2210","Padmavathi D","7 months ago","1","3","429"
"171","385","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/t88take","T88","3 years ago","22","25","75"
"172","383","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/wowfattie","Guanshuo Xu","7 years ago","19","10","111"
"173","383","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nvnnghia","nvnn","4 years ago","13","15","128"
"174","379","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/leecming","Chun Ming Lee","5 years ago","27","19","100"
"175","378","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/touba7","Touba Derakhshande","4 years ago","1","1","449"
"176","376","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/blankaf","Allie K.","6 years ago","8","19","93"
"177","376","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/coldfir3","Adriano Passos","5 years ago","12","8","56"
"178","371","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/returnofsputnik","CoreyLevinson","5 years ago","35","57","577"
"179","370","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/gaborfodor","beluga","11 years ago","57","97","383"
"180","369","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/huikang","Tong Hui Kang","4 years ago","13","8","119"
"181","367","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chumajin","chumajin","3 years ago","10","3","127"
"182","366","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/programmerrdai","hrterhrter","3 months ago","5","6","239"
"183","364","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ravishah1","Ravi Shah","2 years ago","20","10","57"
"184","364","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kishalmandal","Kishal Mandal","a year ago","14","12","182"
"185","363","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/atamazian","Araik Tamazian","5 years ago","10","12","332"
"186","359","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/muhammadimran112233","Muhammad Imran Zaman","a year ago","0","1","466"
"187","358","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/mpware","MPWARE","6 years ago","29","30","322"
"188","358","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/carnozhao","Carno Zhao","3 years ago","8","3","47"
"189","348","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ankanhore545","Ankan Hore","5 years ago","3","10","188"
"190","348","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ulrich07","Ulrich G.","5 years ago","17","15","141"
"191","347","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vaillant","Ian Pan","8 years ago","26","25","93"
"192","344","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/mamasinkgs","mamas","6 years ago","26","30","163"
"193","344","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/boliu0","Bo","5 years ago","19","12","94"
"194","344","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/phoenix9032","Doomsday","4 years ago","30","57","512"
"195","343","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bestfitting","bestfitting","6 years ago","16","16","132"
"196","343","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dimitreoliveira","DimitreOliveira","5 years ago","18","23","514"
"197","343","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chankhavu","Chan Kha Vu","4 years ago","14","19","169"
"198","342","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/maxdiazbattan","Maximiliano Diaz Battan","a year ago","8","3","316"
